disasterNumber,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,fipsCountyCode,placeCode,designatedArea,declaration_date,incident_begin,incident_end,
1344,2001,Severe Storm(s),TROPICAL STORM HELENE,0,0,1,1,13,99013,Calhoun (County),11233,11221,11234,
1344,2001,Severe Storm(s),TROPICAL STORM HELENE,0,0,1,1,5,99005,Bay (County),11233,11221,11234,
1344,2001,Severe Storm(s),TROPICAL STORM HELENE,0,0,1,1,73,99073,Leon (County),11233,11221,11234,
1344,2001,Severe Storm(s),TROPICAL STORM HELENE,0,0,1,1,33,99033,Escambia (County),11233,11221,11234,
1344,2001,Severe Storm(s),TROPICAL STORM HELENE,0,0,1,1,37,99037,Franklin (County),11233,11221,11234,
1344,2001,Severe Storm(s),TROPICAL STORM HELENE,0,0,1,1,129,99129,Wakulla (County),11233,11221,11234,
1345,2001,Severe Storm(s),SEVERE STORMS AND FLOODING,0,1,0,1,87,99087,Monroe (County),11234,11234,11241,
1345,2001,Severe Storm(s),SEVERE STORMS AND FLOODING,0,1,0,1,21,99021,Collier (County),11234,11234,11241,
1344,2001,Severe Storm(s),TROPICAL STORM HELENE,0,0,1,1,65,99065,Jefferson (County),11233,11221,11234,
1345,2001,Severe Storm(s),SEVERE STORMS AND FLOODING,0,1,1,1,86,99025,Dade (County),11234,11234,11241,
1345,2001,Severe Storm(s),SEVERE STORMS AND FLOODING,0,1,1,1,11,99011,Broward (County),11234,11234,11241,
1393,2001,Coastal Storm,"SEVERE STORMS, TORNADOES AND FLOODING ASSOCIATED WITH TROPICAL STORM GABRIELLE",0,0,1,1,81,99081,Manatee (County),11593,11578,11586,
1393,2001,Coastal Storm,"SEVERE STORMS, TORNADOES AND FLOODING ASSOCIATED WITH TROPICAL STORM GABRIELLE",0,0,1,0,55,99055,Highlands (County),11593,11578,11586,
1381,2001,Severe Storm(s),TROPICAL STORM ALLISON,0,1,1,1,129,99129,Wakulla (County),11490,11484,11488,
1381,2001,Severe Storm(s),TROPICAL STORM ALLISON,0,0,1,1,59,99059,Holmes (County),11490,11484,11488,
1344,2001,Severe Storm(s),TROPICAL STORM HELENE,0,0,1,1,91,99091,Okaloosa (County),11233,11221,11234,
1344,2001,Severe Storm(s),TROPICAL STORM HELENE,0,0,1,1,45,99045,Gulf (County),11233,11221,11234,
1381,2001,Severe Storm(s),TROPICAL STORM ALLISON,0,1,1,1,65,99065,Jefferson (County),11490,11484,11488,
1393,2001,Coastal Storm,"SEVERE STORMS, TORNADOES AND FLOODING ASSOCIATED WITH TROPICAL STORM GABRIELLE",0,0,1,0,21,99021,Collier (County),11593,11578,11586,
1393,2001,Coastal Storm,"SEVERE STORMS, TORNADOES AND FLOODING ASSOCIATED WITH TROPICAL STORM GABRIELLE",0,0,1,1,35,99035,Flagler (County),11593,11578,11586,
1393,2001,Coastal Storm,"SEVERE STORMS, TORNADOES AND FLOODING ASSOCIATED WITH TROPICAL STORM GABRIELLE",0,0,1,1,49,99049,Hardee (County),11593,11578,11586,
1393,2001,Coastal Storm,"SEVERE STORMS, TORNADOES AND FLOODING ASSOCIATED WITH TROPICAL STORM GABRIELLE",0,0,1,1,27,99027,DeSoto (County),11593,11578,11586,
1381,2001,Severe Storm(s),TROPICAL STORM ALLISON,0,1,1,1,73,99073,Leon (County),11490,11484,11488,
1381,2001,Severe Storm(s),TROPICAL STORM ALLISON,0,0,1,1,13,99013,Calhoun (County),11490,11484,11488,
1393,2001,Coastal Storm,"SEVERE STORMS, TORNADOES AND FLOODING ASSOCIATED WITH TROPICAL STORM GABRIELLE",0,0,1,1,15,99015,Charlotte (County),11593,11578,11586,
1393,2001,Coastal Storm,"SEVERE STORMS, TORNADOES AND FLOODING ASSOCIATED WITH TROPICAL STORM GABRIELLE",0,0,1,1,109,99109,St. Johns (County),11593,11578,11586,
1381,2001,Severe Storm(s),TROPICAL STORM ALLISON,0,1,1,0,39,99039,Gadsden (County),11490,11484,11488,
1393,2001,Coastal Storm,"SEVERE STORMS, TORNADOES AND FLOODING ASSOCIATED WITH TROPICAL STORM GABRIELLE",0,0,1,1,115,99115,Sarasota (County),11593,11578,11586,
1393,2001,Coastal Storm,"SEVERE STORMS, TORNADOES AND FLOODING ASSOCIATED WITH TROPICAL STORM GABRIELLE",0,0,1,0,71,99071,Lee (County),11593,11578,11586,
1381,2001,Severe Storm(s),TROPICAL STORM ALLISON,0,1,1,1,77,99077,Liberty (County),11490,11484,11488,
1381,2001,Severe Storm(s),TROPICAL STORM ALLISON,0,0,1,1,5,99005,Bay (County),11490,11484,11488,
1381,2001,Severe Storm(s),TROPICAL STORM ALLISON,0,0,1,0,133,99133,Washington (County),11490,11484,11488,
1393,2001,Coastal Storm,"SEVERE STORMS, TORNADOES AND FLOODING ASSOCIATED WITH TROPICAL STORM GABRIELLE",0,0,1,0,107,99107,Putnam (County),11593,11578,11586,
1460,2003,Severe Storm(s),SEVERE STORMS AND TORNADOES,1,1,0,1,86,99086,Miami-Dade (County),12167,12138,12139,
1481,2003,Severe Storm(s),SEVERE STORMS AND FLOODING,0,0,1,1,15,99015,Charlotte (County),12262,12216,12286,
1481,2003,Severe Storm(s),SEVERE STORMS AND FLOODING,0,0,1,1,75,99075,Levy (County),12262,12216,12286,
1481,2003,Severe Storm(s),SEVERE STORMS AND FLOODING,0,0,1,1,115,99115,Sarasota (County),12262,12216,12286,
1481,2003,Severe Storm(s),SEVERE STORMS AND FLOODING,0,0,1,1,27,99027,DeSoto (County),12262,12216,12286,
1481,2003,Severe Storm(s),SEVERE STORMS AND FLOODING,0,0,1,0,101,99101,Pasco (County),12262,12216,12286,
1481,2003,Severe Storm(s),SEVERE STORMS AND FLOODING,0,0,1,0,53,99053,Hernando (County),12262,12216,12286,
1481,2003,Severe Storm(s),SEVERE STORMS AND FLOODING,0,0,1,1,81,99081,Manatee (County),12262,12216,12286,
1481,2003,Severe Storm(s),SEVERE STORMS AND FLOODING,0,0,1,1,49,99049,Hardee (County),12262,12216,12286,
1481,2003,Severe Storm(s),SEVERE STORMS AND FLOODING,0,0,1,0,123,99123,Taylor (County),12262,12216,12286,
1481,2003,Severe Storm(s),SEVERE STORMS AND FLOODING,0,0,1,0,29,99029,Dixie (County),12262,12216,12286,
1481,2003,Severe Storm(s),SEVERE STORMS AND FLOODING,0,0,1,1,17,99017,Citrus (County),12262,12216,12286,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,131,99131,Walton (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,1,99001,Alachua (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,19,99019,Clay (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,1,1,1,1,93,99093,Okeechobee (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,121,99121,Suwannee (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,13,99013,Calhoun (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,47,99047,Hamilton (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,17,99017,Citrus (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,5,99005,Bay (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,79,99079,Madison (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,91,99091,Okaloosa (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,39,99039,Gadsden (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,85,99085,Martin (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,65,99065,Jefferson (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,41,99041,Gilchrist (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,57,99057,Hillsborough (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,1,1,1,1,87,99087,Monroe (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,1,1,1,1,35,99035,Flagler (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,1,1,1,1,81,99081,Manatee (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,11,99011,Broward (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,67,99067,Lafayette (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,125,99125,Union (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,111,99111,St. Lucie (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,59,99059,Holmes (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,113,99113,Santa Rosa (County),12643,12641,12660,
1545,2004,Hurricane,HURRICANE FRANCES,0,0,1,1,77,99077,Liberty (County),12665,12664,12699,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,1,1,1,1,97,99097,Osceola (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,1,1,1,1,101,99101,Pasco (County),12643,12641,12660,
1545,2004,Hurricane,HURRICANE FRANCES,0,0,1,1,133,99133,Washington (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,0,0,1,1,21,99021,Collier (County),12665,12664,12699,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,1,1,1,1,117,99117,Seminole (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,1,1,1,1,95,99095,Orange (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,129,99129,Wakulla (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,123,99123,Taylor (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,1,1,1,1,9,99009,Brevard (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,73,99073,Leon (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,1,1,1,1,15,99015,Charlotte (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,1,1,1,1,109,99109,St. Johns (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,99,99099,Palm Beach (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,1,1,1,1,29,99029,Dixie (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,1,1,1,1,21,99021,Collier (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,1,1,1,1,31,99031,Duval (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,1,1,1,1,27,99027,DeSoto (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,1,1,1,1,43,99043,Glades (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,1,1,1,1,49,99049,Hardee (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,1,1,1,1,115,99115,Sarasota (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,1,1,1,1,51,99051,Hendry (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,23,99023,Columbia (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,1,1,1,1,61,99061,Indian River (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,63,99063,Jackson (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,1,1,1,1,71,99071,Lee (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,83,99083,Marion (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,1,1,1,1,127,99127,Volusia (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,1,1,1,1,75,99075,Levy (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,1,1,1,1,55,99055,Highlands (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,107,99107,Putnam (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,33,99033,Escambia (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,133,99133,Washington (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,86,99086,Miami-Dade (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,119,99119,Sumter (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,89,99089,Nassau (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,53,99053,Hernando (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,37,99037,Franklin (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,1,1,1,1,105,99105,Polk (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,77,99077,Liberty (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,7,99007,Bradford (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,1,1,1,1,69,99069,Lake (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,3,99003,Baker (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,103,99103,Pinellas (County),12643,12641,12660,
1539,2004,Hurricane,TROPICAL STORM BONNIE AND HURRICANE CHARLEY,0,0,1,1,45,99045,Gulf (County),12643,12641,12660,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,89,99089,Nassau (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,86,99086,Miami-Dade (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,111,99111,St. Lucie (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,51,99051,Hendry (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,7,99007,Bradford (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,107,99107,Putnam (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,75,99075,Levy (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,17,99017,Citrus (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,27,99027,DeSoto (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,41,99041,Gilchrist (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,55,99055,Highlands (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,57,99057,Hillsborough (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,117,99117,Seminole (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,109,99109,St. Johns (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,11,99011,Broward (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,61,99061,Indian River (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,53,99053,Hernando (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,103,99103,Pinellas (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,9,99009,Brevard (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,95,99095,Orange (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,15,99015,Charlotte (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,19,99019,Clay (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,3,99003,Baker (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,31,99031,Duval (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,0,0,1,1,13,99013,Calhoun (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,29,99029,Dixie (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,0,0,1,1,33,99033,Escambia (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,0,0,1,1,39,99039,Gadsden (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,43,99043,Glades (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,0,0,1,1,91,99091,Okaloosa (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,0,0,1,1,37,99037,Franklin (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,0,0,1,1,65,99065,Jefferson (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,0,0,1,1,59,99059,Holmes (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,0,0,1,1,63,99063,Jackson (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,0,0,1,1,67,99067,Lafayette (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,1,99001,Alachua (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,0,0,1,1,73,99073,Leon (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,0,0,1,1,79,99079,Madison (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,35,99035,Flagler (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,0,0,1,1,45,99045,Gulf (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,0,0,1,1,113,99113,Santa Rosa (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,0,0,1,1,123,99123,Taylor (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,0,0,1,1,129,99129,Wakulla (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,0,0,1,1,131,99131,Walton (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,0,0,1,1,87,99087,Monroe (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,0,0,1,1,47,99047,Hamilton (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,0,0,1,1,5,99005,Bay (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,23,99023,Columbia (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,125,99125,Union (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,93,99093,Okeechobee (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,49,99049,Hardee (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,105,99105,Polk (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,85,99085,Martin (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,121,99121,Suwannee (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,127,99127,Volusia (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,119,99119,Sumter (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,69,99069,Lake (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,81,99081,Manatee (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,83,99083,Marion (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,99,99099,Palm Beach (County),12665,12664,12699,
1545,2004,Hurricane,HURRICANE FRANCES,1,1,1,1,115,99115,Sarasota (County),12665,12664,12699,
